title,author,genre_1,genre_2,brank,rate,count
프랑켄슈타인,메리 셸리,"소설, 소설, 소설, 소설, ","영미소설, 고전소설/문학선, 영미소설, 공포/호러소설, 고전소설/문학선, 영미고전소설/문학선, 장르소설, 공포/호러소설, ",999,10.0,4.0
수호자들,존 그리샴,"소설, ","영미소설, 영미소설일반, ",989,10.0,27.0
선생님이 알아서는 안 되는 학교 폭력 일기,쿤룬,"소설, 소설, ","중국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",990,10.0,20.0
신카이 마코토 세트,신카이 마코토 외 3명,"소설, 소설, 소설, 소설, ","일본소설, 라이트노벨, 일본소설, 드라마/영화소설, 라이트노벨, 일본라이트노벨, 장르소설, 드라마/영화소설, ",991,9.76,26.0
아무도 모를 것이다,정보라,"소설, ","한국소설, 한국소설일반, ",992,10.0,6.0
"거미입니다만, 문제라도? 16",바바 오키나,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",993,10.0,2.0
토요미스테리,디바제시카,"소설, 소설, ","한국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",994,9.94,27.0
카피캣 식당,범유진,"소설, 소설, 소설, ","한국소설, 한국소설일반, 한국소설, 판타지소설, 장르소설, 판타지소설, ",995,10.0,2.0
우리가 얼마나 아름다웠는지,임볼로 음붸,"소설, ","영미소설, 영미소설일반, ",996,9.17,3.0
어린 왕자(문고판),생텍쥐페리,"소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, ",997,10.0,4.0
어린 왕자(초판본 문고판),생텍쥐페리,"소설, 소설, ","프랑스소설, 고전소설/문학선, 고전소설/문학선, 프랑스고전소설/문학선, ",998,10.0,3.0
사소한 삶,피에르 미숑,"소설, ","프랑스소설, 프랑스소설일반, ",1000,10.0,5.0
선과 모터사이클 관리술,로버트 M. 피어시그,"소설, ","영미소설, 영미소설일반, ",901,10.0,15.0
한중록,혜경궁 홍씨,"소설, 소설, ","한국소설, 고전소설/문학선, 고전소설/문학선, 한국고전소설/문학선, ",902,9.22,107.0
인형의 집,헨리크 입센,"소설, 소설, 소설, ","북유럽소설, 고전소설/문학선, 고전소설/문학선, 북유럽고전소설/문학선, 세계문학전집, 민음사 세계문학전집, ",903,9.6,79.0
예브게니 오네긴,알렉산드르 뿌쉬낀,"소설, 소설, 소설, ","러시아소설, 고전소설/문학선, 고전소설/문학선, 러시아고전소설/문학선, 세계문학전집, 열린책들 세계문학, ",904,9.42,24.0
템페스트,윌리엄 셰익스피어,"소설, 소설, 소설, ","영미소설, 고전소설/문학선, 고전소설/문학선, 영미고전소설/문학선, 세계문학전집, 문학동네 세계문학전집, ",905,9.46,17.0
장미의 이름 세트,움베르토 에코,"소설, 소설, 소설, ","그외유럽소설, 이탈리아소설, 장르소설, 공포/호러소설, 장르소설, 미스터리/스릴러소설, ",906,9.47,123.0
