제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"169","(월스트리트의 전설적인 시장분석가에게 배우는) 주식투자 최적의 타이밍을 잡는 법 ","스탠 와인스타인 지음 ;우승택 옮김","빌리버튼","2020","","9791191228366","38",
"169","객주 :김주영 장편소설","지은이: 김주영","문학동네","2013","4","9788954621311","38",
"169","내면소통 =삶의 변화를 가져오는 마음근력 훈련/Inner communication","김주환 지음","인플루엔셜","2023","","9791168340855","38",
"169","당신이 우주다 :나는 무엇인가, 그리고 왜 이것이 중요한가 ","지은이: 디팩 초프라,옮긴이: 조원희","김영사","2023","","9788934942412","38",
"169","사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ","지은이: 유발 하라리 ;옮긴이: 조현욱","김영사","2015","","9788934972464","38",
"169","살인 플롯 짜는 노파 :엘리 그리피스 장편소설 ","지은이: 엘리 그리피스 ;옮긴이: 신승미","나무옆의자","2022","","9791161571430","38",
"169","세계 철학 필독서 50 :플라톤부터 마이클 샌델까지 2500년 철학 명저 50권을 한 권에 ","톰 버틀러 보던 지음 ;이시은 옮김","센시오","2022","","9791166570841","38",
"169","인류의 여정 :부와 불평등의 기원 그리고 우리의 미래 ","오데드 갤로어 지음 ;장경덕 옮김","시공사","2023","","9791169255820","38",
"169","장길산:황석영 대하소설","황석영 지음","창비","2004","12","9788936430658","38",
"178","2050 미중 패권전쟁과 세계경제 시나리오 :러시아 전쟁으로 도래할 뜻밖의 미래와 한국의 생존 전략 ","지은이: 최윤식","김영사","2023","","9788934943327","37",
"178","각자도사 사회 :존엄한 죽음을 가로막는 불평등한 삶의 조건을 성찰하다 ","송병기 지음","어크로스(어크로스출판그룹)","2023","","9791167740908","37",
"178","고구려 :김진명 역사소설","지은이: 김진명","새움출판사","2011","2","9788993964271","37",
"178","굿 걸 배드 걸 ","지은이: 마이클 로보텀 ;옮긴이: 최필원","더난콘텐츠그룹","2023","","9791158792022","37",
"178","러시아 지정학 아틀라스 ","델핀 파팽 책임 저자 ;권지현 옮김","서해문집","2023","","9791192988030","37",
"178","백년 허리 :허리 보증 기간을 100년으로 늘리는 방법 ","지은이: 정선근","사이언스북스","2015","","9788983717573","37",
"178","백년허리 :백년 동안 간직할 허리 사용설명서 ","저자: 정선근","언탱글링","2021","1","9791197437304","37",
"178","백조와 박쥐 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2021","","9791190885928","37",
"178","아무에게도 말하지 마 :할런 코벤 장편소설 ","지은이: 할런 코벤 ;옮긴이: 최필원","김영사","2022","","9788934942696","37",
"178","외로움 수업 :온전한 나와 마주하는 시간에 대하여 ","김민식 지음","생각정원","2023","","9791191360608","37",
"178","일본은 왜 한국역사에 집착하는가 - 홍성화 교수의 한일유적답사기","홍성화 (지은이)","시여비","2023","","9791196726973","37",
"178","정기룡 :하용준 역사소설 ","지은이: 하용준","은행나무","2022","1","9791167372345","37",
"178","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","3","9788960532434","37",
"178","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","11","9788960532519","37",
"178","풀꽃도 꽃이다 :조정래 장편소설","지은이: 조정래","해냄","2016","1","9788965745617","37",
"178","혼불 :대하소설","崔明姬","매안","2009","1","9788993607017","37",
"178","황제 :이원호 장편개척소설 ","이원호 지음","한결미디어","2021","1","9791159161544","37",
"195","(7가지 키워드로 읽는) 오늘의 이스라엘 :익숙하지만 낯선 나라, 젊지만 오랜 나라 ","최용환 지음","세종(세종서적)","2023","","9788984078918","36",
"195","GPT 제너레이션 - 챗GPT가 바꿀 우리 인류의 미래","이시한 (지은이)","북모먼트","2023","","9791191891270","36",
"195","나의 아름다운 날들 :정지아 소설 ","지은이: 정지아","은행나무","2023","","9791167372703","36",
"195","도둑맞은 뇌 :뇌과학이 발견한 기억의 7가지 오류 ","대니얼 샥터 지음 ;홍보람 옮김","인물과사상사","2023","","9788959066711","36",
"195","돈의 규칙 - 돈은 당신의 명령을 기다린다","신민철(처리형) (지은이)","베가북스","2023","","9791192488257","36",
"195","맨발로 걸어라 :땅이 주는 치유의 선물 ","박동창 지음","국일미디어","2021","","9788974259938","36",
