title,author,genre_1,genre_2,brank,rate,count,isbn
지금은 대체 어떤 세계인가,주디스 버틀러,"정치/사회, 인문, ","정치/외교, 정치일반, 철학, 철학이론, ",40,0.0,,9788936479374
같이 가면 길이 된다,이상헌,"정치/사회, ","사회학, 사회학일반, ",41,9.83,16.0,9791190955911
정세현의 통찰,정세현,"정치/사회, ","정치/외교, 외교/국제관계, ",42,9.75,115.0,9791156754039
김남주 평전,김형수,"정치/사회, 시/에세이, 인문, ","사회학, 사회사상, 인물/자전적에세이, 사회운동가, 한국문학론, 한국작가론, ",43,10.0,5.0,9791130695587
조국의 시간,조국,"정치/사회, 시/에세이, ","정치/외교, 정치가, 인물/자전적에세이, 정치가/법조인, ",44,9.5,1348.0,9788935668663
차이나 리터러시,김유익,"정치/사회, ","사회학, 각국사회/문화, ",45,0.0,,9791160405248
가짜 뉴스의 모든 것,신디 L. 오티스,"정치/사회, ","언론/신문/방송, 언론일반, ",46,10.0,2.0,9791192953076
이준석의 거부할 수 없는 미래,이준석,"정치/사회, 시/에세이, ","정치/외교, 정치가, 인물/자전적에세이, 정치가/법조인, ",47,9.62,75.0,9788950953799
지구를 위한다는 착각,마이클 셸런버거,"정치/사회, 정치/사회, 기술/공학, ","사회문제/복지, 사회문제, 사회문제/복지, 사회문제, 환경/소방/도시/조경, 환경, ",48,8.89,152.0,9788960518612
MZ세대 한국생각,엄경영,"정치/사회, 정치/사회, ","정치/외교, 각국정치, 사회학, 젠더, ",49,9.72,8.0,9788957753088
어떤 양형 이유,박주영,"정치/사회, ","법학, 법학일반, ",50,9.7,23.0,9791197559778
